"species","weighted_lat","q95_lat","coastal_overlap","n_cells","matched_name","warm_flag_am"
"Hypsoblennius hentz",28.4027597210534,38.5,0,405,NA,"southern_range_edge"
"Icelus bicornis",67.1309823261119,76.5,0,3263,NA,"northern_species"
"Isurus oxyrinchus",28.0649179017554,42.5,0,6942,NA,"possible_warm_water"
"Katsuwonus pelamis",26.6172396931354,40.5,0,6838,NA,"southern_range_edge"
"Lampanyctus alatus",27.1843461589139,40.5,0,5359,NA,"southern_range_edge"
"Lampanyctus macdonaldi",NA,NA,NA,0,NA,NA
"Lampanyctus photonotus",27.1536599468337,41,0,6569,NA,"possible_warm_water"
"Lepidopsetta bilineata",NA,NA,NA,0,NA,NA
"Lepophidium profundorum",24.274229760162,35.5,0,569,NA,"tropical"
"Leucoraja garmani",34.7244089671229,41.5,0,159,NA,"possible_warm_water"
"Liparis liparis",61.2713668334402,64,0,220,NA,"northern_species"
"Liparis montagui",NA,NA,NA,0,NA,NA
"Liparis tunicatus",66.5024397302596,76.5,0,3179,NA,"northern_species"
"Lophius piscatorius",NA,NA,NA,0,NA,NA
"Lopholatilus chamaeleonticeps",28.1290864590041,44,0.00227268304165196,920,NA,"northern_species"
"Lumpenus fabricii",58.8410322874097,75,0.00833828582099672,2909,NA,"northern_species"
"Lycenchelys kolthoffi",64.7612887054,77.5,0,1500,NA,"northern_species"
"Lycenchelys paxillus",50.5453102290524,65,0.00229317340965903,1376,NA,"northern_species"
"Lycodes esmarkii",55.3609066790136,70,0.00152597533416219,1371,NA,"northern_species"
"Lycodes eudipleurostictus",62.8129492100788,76,0.00172363305529571,3159,NA,"northern_species"
"Macroramphosus scolopax",30.8026645549496,43.5,0,1701,NA,"northern_species"
"Malacosteus niger",31.8842246132992,58,0,6089,NA,"northern_species"
"Mancopsetta maculata",NA,NA,NA,0,NA,NA
"Maurolicus muelleri",38.1535744284569,59,0,5836,NA,"northern_species"
"Maurolicus weitzmani",37.8995260327618,51.5,0.00212284252893109,5601,NA,"northern_species"
"Melanostigma atlanticum",50.8613021294054,63.5,0,553,NA,"northern_species"
"Merluccius albidus",22.94639260484,37,0,966,NA,"tropical"
"Mullus auratus",23.4005852310132,34,0,819,NA,"tropical"
"Mustelus canis",27.9501918684566,44,0.00317900044399789,1631,NA,"northern_species"
"Myctophum punctatum",45.5744125645446,58.5,0.00170761966583939,3328,NA,"northern_species"
"Myoxocephalus scorpioides",64.2142733506249,76,0,2937,NA,"northern_species"
"Naucrates ductor",26.0727052171385,40.5,0,1635,NA,"southern_range_edge"
"Nemichthys scolopaceus",31.4244494471834,48.5,0.000578791505894134,6158,NA,"northern_species"
"Notacanthus chemnitzii",44.4748003366562,58,0.00322479692327592,2746,NA,"northern_species"
"Notoscopelus elongatus",NA,NA,NA,0,NA,NA
"Notoscopelus kroyeri",51.251674315984,61.5,0,2440,NA,"northern_species"
"Notoscopelus resplendens",28.0308497690896,43.5,0,5208,NA,"northern_species"
"Oncorhynchus kisutch",NA,NA,NA,0,NA,NA
"Ophichthus gomesii",26.6910938854652,41.5,0,1065,NA,"possible_warm_water"
"Osmerus eperlanus",NA,NA,NA,0,NA,NA
"Paralepis coregonoides",47.622453356941,59.5,0.000812863832340556,2728,NA,"northern_species"
"Paralichthys dentatus",38.1187133053366,44,0.0201684964339625,270,NA,"northern_species"
"Paraliparis calidus",42.8468764445632,50,0.00149322621547484,1267,NA,"northern_species"
"Peristedion miniatum",24.1129538528283,39.5,0,923,NA,"southern_range_edge"
"Pholis clemensi",NA,NA,NA,0,NA,NA
"Pholis fasciata",63.9546698330604,75.5,0,1961,NA,"northern_species"
"Pholis ornata",NA,NA,NA,0,NA,NA
"Pomatomus saltatrix",31.9241735427118,43,0.000190504646833731,5282,NA,"possible_warm_water"
"Prionotus carolinus",33.9234563209478,42.5,0,917,NA,"possible_warm_water"
"Prionotus evolans",37.5089330710488,44,0.0131114472503147,232,NA,"northern_species"
"Pterycombus brama",29.663957734713,44.5,0.000300097915006625,6820,NA,"northern_species"
"Raja eglanteria",35.741773650831,43,0,545,NA,"possible_warm_water"
"Rajella fyllae",56.7930779753795,69,0,1353,NA,"northern_species"
"Remora brachyptera",27.8222239619553,42.5,0,6898,NA,"possible_warm_water"
"Salmo trutta",NA,NA,NA,0,NA,NA
"Sarda sarda",NA,NA,NA,0,NA,NA
"Scomber japonicus",15.1382898231151,16.5,0,43,NA,"tropical"
"Sebastes norvegicus",53.9283066112003,65.5,0.00220709497929939,2658,NA,"northern_species"
"Selar crumenophthalmus",23.1925995528926,33.5,0,1130,NA,"tropical"
"Serranus scriba",NA,NA,NA,0,NA,NA
"Siganus rivulatus",NA,NA,NA,0,NA,NA
"Sphoeroides maculatus",37.9859341004396,44,0,383,NA,"northern_species"
"Sphoeroides pachygaster",28.8593213980244,42.5,0,1497,NA,"possible_warm_water"
"Stenotomus chrysops",34.5111935994565,42.5,0,385,NA,"possible_warm_water"
"Stomias boa",39.6683150612506,57.5,0,6522,NA,"northern_species"
"Symbolophorus veranyi",37.7724642595603,49,0,5974,NA,"northern_species"
"Tautoga onitis",39.3968631224664,45,0.0476869453684577,232,NA,"northern_species"
"Tetragonurus cuvieri",40.3387031568367,49,0,1461,NA,"northern_species"
"Tetronarce nobiliana",31.7679899879605,46.5,0.00768838329068523,1805,NA,"northern_species"
"Trachinotus blochii",NA,NA,NA,0,NA,NA
"Trachurus lathami",24.7566213108556,40,0,987,NA,"southern_range_edge"
"Trachyrincus murrayi",52.5175062410422,63.5,0,1030,NA,"northern_species"
"Triglops nybelini",62.1642758313205,75.5,0,1652,NA,"northern_species"
"Urophycis regia",38.8812818934109,45,0.00812410699597926,752,NA,"northern_species"
"Vinciguerria nimbaria",NA,NA,NA,0,NA,NA
"Xenolepidichthys dalgleishi",21.6188571866506,31.5,0,795,NA,"tropical"
"Xiphias gladius",27.2069210767255,42,0,7361,NA,"possible_warm_water"
"Zenopsis conchifer",35.6668345169317,46.5,0.00408274360264191,1403,NA,"northern_species"
"Hippoglossus hippoglossus",52.4636057205827,65.5,0.000917783323031586,1875,NA,"northern_species"
"Microgadus tomcod",46.169597558329,50,0.059110388618872,340,NA,"northern_species"
"Eumicrotremus terraenovae",59.3583334418903,75.5,0.00613769798172427,3213,"Eumicrotremus spinosus","northern_species"
"Mobula rochebrunei",32.4888072974824,39,0,260,"Mobula hypostoma","southern_range_edge"
"Synodus myops",22.2136461532267,36,0,228,"Trachinocephalus myops","tropical"
